Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Chili's American Grill and Bar,"Orion Mall,Rajajinagar, West Bangalore", West Bangalore,Bangalore,"American,  Mexican",4.1,349,2200
Express By AB's,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"North Indian,  Barbecue",5,2,400
Gokul Veg,"RT Nagar, North Bangalore", North Bangalore,Bangalore,"North Indian,  Chinese",3.9,8,500
California Burrito,"Orion Mall,Malleshwaram, West Bangalore", West Bangalore,Bangalore,"Mexican,  Fast Food",4.5,50,500
Empire Restaurant,"Rajajinagar, West Bangalore", West Bangalore,Bangalore,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",4,97,700
Mani's Dum Biryani,"Jeevan Bhima Nagar, East Bangalore", East Bangalore,Bangalore,"Hyderabadi,  Biryani",3.8,9,400
Tipsy Bull - The Bar Exchange,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Chinese,  Continental,  North Indian,  Fast Food",4.3,202,1200
Kurtos Bake House,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Desserts,  Fast Food",4.6,12,400
Andhra Ruchulu,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Andhra,  North Indian",4.2,79,800
Cafe Noir,"Orion Mall,Rajajinagar, West Bangalore", West Bangalore,Bangalore,"French,  Bakery and Confectionary,  Desserts,  Fast Food",4.4,64,1800
Frozen Bottle,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Shakes,  Desserts,  Ice Cream",3.5,4,400
Hammered,"HSR Layout, South Bangalore", South Bangalore,Bangalore,Continental,4.1,346,1200
Dindigul Thalappakatti,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"South Indian,  Biryani,  North Indian,  Seafood",4.5,8,800
Hakuna Matata,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese,  Thai,  Seafood",4.6,755,1000
Khmer Kitchen,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Asian,  Oriental ,  Coffee",4.5,9,1800
Dr. Sheesha,"Rajajinagar, West Bangalore", West Bangalore,Bangalore,"Italian,  North Indian,  Chinese",4.3,28,600
Kobe Sizzlers,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"Continental,  American,  North Indian",4.1,119,1700
Beijing Bites,"RT Nagar, North Bangalore", North Bangalore,Bangalore,"Chinese,  Thai,  Seafood",4.2,33,700
Rolls On Wheels,"Banashankari, South Bangalore", South Bangalore,Bangalore,Fast Food,4.1,8,300
Gawky Goose,"Murugeshpalya, East Bangalore", East Bangalore,Bangalore,"European,  Asian",4.5,6,3000
La Pino'z,"Shankar Plaza,Koramangala, South Bangalore", South Bangalore,Bangalore,"Pizza,  Fast Food",3.8,35,600
Thanco's Natural Ice Cream,"Magadi Road, West Bangalore", West Bangalore,Bangalore,"Ice Cream,  Desserts",4.6,14,400
Gosssip Pub,"Banashankari, South Bangalore", South Bangalore,Bangalore,North Indian,4.4,49,1000
Gallop Bar,"Davanam Sarovar Portico Suites,Koramangala, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Thai,  Japanese",4.2,6,2400
Taco Bell,"Gopalan Innovation Mall,Bannerghatta Road, South Bangalore", South Bangalore,Bangalore,"Mexican,  Tex Mex",4.5,46,500
Connie's Steakhouse & Wine Bar,"Kammanahalli, North Bangalore", North Bangalore,Bangalore,"Continental,  American,  Seafood",4.3,74,1000
Pizza Stop,"Banashankari, South Bangalore", South Bangalore,Bangalore,"Pizza,  Fast Food",3,2,500
Beijing Bites,"Banashankari, South Bangalore", South Bangalore,Bangalore,"Chinese,  Thai,  Seafood",3.8,20,700
Kanti Sweets,"New Thippasandra, East Bangalore", East Bangalore,Bangalore,"Mithai,  Desserts",5,1,500
Pappu Da Dhaba,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese",4,14,500
Stoned Monkey,"Banashankari, South Bangalore", South Bangalore,Bangalore,"Desserts,  Ice Cream",3.6,5,400
Kanti Sweets,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"Mithai,  Desserts",3.7,3,500
Kanti Sweets,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"Mithai,  Desserts",4,1,500
Waffle Stories,"Orion Mall,Rajajinagar, West Bangalore", West Bangalore,Bangalore,"Desserts,  Ice Cream,  Waffle,  Fast Food,  Drinks",3.9,6,400
B-Hive,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Finger Food,  North Indian,  Chinese",4.3,390,1800
Barbeque Delight,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  Seafood,  Mughlai,  Biryani",4.7,3,700
Kanti Sweets,"Ganga Nagar, North Bangalore", North Bangalore,Bangalore,"Mithai,  Desserts",2.8,1,500
Beijing Bites,"Royal Plaza,JP Nagar, South Bangalore", South Bangalore,Bangalore,"Chinese,  Thai,  Seafood",4.3,47,700
Coco Barista,"BTM Layout, South Bangalore", South Bangalore,Bangalore,Fast Food,5,1,400
Cafe Azzure,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"Continental,  Italian,  Coffee,  Burger",4.2,187,1000
Hotel Godavari,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese",3,2,500
Kanti Sweets,"Kammanahalli, North Bangalore", North Bangalore,Bangalore,"Mithai,  Desserts",4.6,5,500
The Jade Kitchen,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Chinese,  Thai,  North Indian",5,1,600
Tangerine - Davanam Sarovar Portico Suites,"Davanam Sarovar Portico Suites,Koramangala, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Italian,  Asian",3.7,75,2000
Shree Mahalakshmi Sweets,"Banashankari, South Bangalore", South Bangalore,Bangalore,"Mithai,  Street Food",2.5,2,400
Caravan Restaurant,"Kammanahalli, North Bangalore", North Bangalore,Bangalore,"North Indian,  Chinese,  Arabian",3.8,5,700
Cafe Rossini,"Sanjay Nagar, North Bangalore", North Bangalore,Bangalore,"Italian,  Chinese,  Continental",4.2,44,700
Kanti Sweets,"Chandra Layout, West Bangalore", West Bangalore,Bangalore,"Mithai,  Desserts",4,2,500
Barbeque Delight,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  Chinese,  South Indian,  Seafood,  Kerala,  Biryani",1.4,2,700
Three Dots and A Dash,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Continental,  Italian,  European",4.2,473,1600
Sreeraj Lassi Bar,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"Desserts,  Ice Cream,  Shakes",1,1,200
Kanti Sweets,"SNS Arcade,Murugeshpalya, East Bangalore", East Bangalore,Bangalore,"Mithai,  Desserts",4.3,4,500
Muralikrishna,"Bannerghatta Road, South Bangalore", South Bangalore,Bangalore,"North Indian,  Andhra",5,1,700
Empire Restaurant,"Orion Mall,Rajajinagar, West Bangalore", West Bangalore,Bangalore,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",3.3,8,700
Yum In My Tum,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"Chinese,  Fast Food",4.6,9,300
Empire Restaurant,"Kammanahalli, North Bangalore", North Bangalore,Bangalore,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",3.8,64,700
Mani's Dum Biryani,"Koramangala, South Bangalore", South Bangalore,Bangalore,Biryani,4.5,6,700
Kargeens,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"Italian,  Continental,  Coffee",4,127,900
Royal Calcutta,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Bengali,  North Indian,  Chinese",5,1,400
Stoned Monkey,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"Desserts,  Ice Cream",4.2,6,400
Frozenheit6,"Rajajinagar, West Bangalore", West Bangalore,Bangalore,"Desserts,  Ice Cream",3,5,500
Kunafa Lounge,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Desserts,  Drinks",1,6,400
Kanti Sweets,"Srinivasa Building,Banaswadi, North Bangalore", North Bangalore,Bangalore,"Mithai,  Desserts",4.3,2,500
Onesta,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"Italian,  Fast Food,  Pizza",4.4,65,700
The Druid Garden,"Sahakara Nagar, North Bangalore", North Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Continental,  Mediterranean,  European,  Asian",4.3,1730,1200
House of Commons,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Finger Food,  North Indian,  Italian,  Continental",3.5,7,1400
Bottoms Up Club,"Sanjay Nagar, North Bangalore", North Bangalore,Bangalore,"Chinese,  Continental,  Indian Cuisine,  Italian,  Korean",4.2,16,1000
Paakashala,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"North Indian,  South Indian,  Chinese,  Drinks",4.4,37,600
Wanderers - Craft Brewery and Artisan Cafe,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  Asian",4.1,307,1400
Bangalore Bites,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"Italian,  Chinese",3.7,3,300
Kanti Sweets,"Nagarbhavi, West Bangalore", West Bangalore,Bangalore,"Mithai,  Desserts",5,2,500
Thanco's Natural Ice Cream,"Vijay Nagar, West Bangalore", West Bangalore,Bangalore,"Ice Cream,  Desserts",5,1,400
Ferment,"Banashankari, South Bangalore", South Bangalore,Bangalore,Continental,4.2,122,1000
Thanco's Natural Ice Cream,"Banashankari, South Bangalore", South Bangalore,Bangalore,"Ice Cream,  Desserts",2.6,9,400
Brewklyn Microbrewery,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"Multi-Cuisine,  Italian,  Chinese,  Continental,  American,  Finger Food",4.3,665,1200
Punjabi Swag,"BTM Layout, South Bangalore", South Bangalore,Bangalore,North Indian,3.9,22,700
Hatti Punjab Di,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Chinese,  North Indian",3.3,15,700
Just Shawarma,"Basaveshwara Nagar, West Bangalore", West Bangalore,Bangalore,Lebanese,3.5,4,300
Barbeque Nation,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"Barbecue,  North Indian,  Drinks",4.5,415,1800
ABs - Absolute Barbecues,"Marathahalli, East Bangalore", East Bangalore,Bangalore,"North Indian,  Barbecue,  Seafood",4.3,858,1200
Thanco's Natural Ice Cream,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"Ice Cream,  Desserts",4,20,400
1947,"Ram Towers,Banashankari, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese",4.2,89,800
Nandhini Deluxe,"Banashankari, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Andhra",4,2,1300
Onesta,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Italian,  Pizza,  Desserts,  Fast Food",4.1,113,700
Budapest Bake Inn,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"Fast Food,  Desserts",3.6,4,700
Beijing Bites,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"Chinese,  Thai,  Seafood",3.8,60,700
Levels,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese,  Finger Food",4.1,92,1500
Thanco's Natural Ice Cream,"Yeshwantpur, North Bangalore", North Bangalore,Bangalore,"Ice Cream,  Desserts",5,1,400
Taproom by Sherlock's,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese",4.2,58,1800
California Burrito,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Mexican,  Fast Food",4.5,128,500
Antra Veg.,"Banashankari, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese",3.8,2,800
Sandwich Hub,"Jayanagar, South Bangalore", South Bangalore,Bangalore,Fast Food,1,1,300
24th Main,"Cross Roads Inn,JP Nagar, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese",4.1,49,800
Cream Artisan,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"Desserts,  Ice Cream,  Fast Food",4.1,5,600
Rusty's,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"Continental,  Italian,  American",4.5,20,1100
Based On A True Story - Bistro,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"Continental,  Italian,  Desserts,  Coffee,  Drinks",4.5,33,900
Kanti Sweets,"Mathikere, North Bangalore", North Bangalore,Bangalore,"Mithai,  Desserts",3.9,4,500
Kenzai,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"Chinese,  Japanese,  Korean",3.3,35,1500
Cucumber Town,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"Seafood,  Kerala",5,2,600
Paakashala,"Vijay Nagar, West Bangalore", West Bangalore,Bangalore,"North Indian,  South Indian,  Chinese,  Drinks",4.4,23,600
Sagar,"Vijay Nagar, West Bangalore", West Bangalore,Bangalore,"South Indian,  North Indian,  Chinese,  Shakes",2,3,500
Broadway - The Gourmet Theatre,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Japanese,  North Indian,  Continental,  Sushi",4.3,308,1800
Chin Lung Bar & Restaurant,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"Continental,  North Indian",4,113,1200
Cinders Rooftop Barbeque,"Comfort INN Insys,Mathikere, North Bangalore", North Bangalore,Bangalore,"North Indian,  Italian,  Chinese,  Continental,  Barbecue,  Finger Food",4,179,1500
Drunken Monkey,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Juice,  Fast Food",5,6,500
Pingara,"Koramangala, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese,  Seafood",3.4,18,1200
Spicy Platter,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese,  Andhra,  Biryani",3.3,4,400
Burp,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"Fast Food,  Italian,  Mexican",4.4,96,600
Pavilion Multicuisine Restaurant - Comfort INN Insys,"Mathikere, North Bangalore", North Bangalore,Bangalore,"North Indian,  Italian,  Continental",4.3,127,1000
Float Brewery,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"European,  Asian,  North Indian,  Italian",4.1,177,1500
Checkpost,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese,  South Indian",3.5,4,600
Kanti Sweets,"Santosh Tower,Sanjay Nagar, North Bangalore", North Bangalore,Bangalore,"Mithai,  Desserts",4.5,2,500
Limitless Bar & Kitchen,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"North Indian,  South Indian",5,2,1000
Go Native,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Health Food,  Modern Indian,  South Indian,  Desserts",4.4,28,800
Kanti Sweets,"Uttarahalli, South Bangalore", South Bangalore,Bangalore,"Mithai,  Desserts",4.7,3,500
Chaat Street,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"Street Food,  Chaat",5,1,200
Two Friends Cauldron,"Disha,JP Nagar, South Bangalore", South Bangalore,Bangalore,"Italian,  Continental",4.4,34,700
Cake Dilim,"Murugeshpalya, East Bangalore", East Bangalore,Bangalore,"Bakery and Confectionary,  Desserts",1,2,400
Express By AB's,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"North Indian,  Barbecue",5,1,400
1522 - The Pub,"Rajarajeshwari Nagar, West Bangalore", West Bangalore,Bangalore,"North Indian,  Multi-Cuisine,  Chinese,  Continental,  Coastal",4.5,77,1400
California Burrito,"Escape Mall,CV Raman Nagar, East Bangalore", East Bangalore,Bangalore,"Mexican,  Fast Food",3.6,11,500
Healthy Fuel,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"Health Food,  Shakes",5,2,300
Onesta,"Kammanahalli, North Bangalore", North Bangalore,Bangalore,"Italian,  Fast Food,  Pizza",4.4,70,700
Caffe Pascucci,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Italian,  Continental,  Coffee",4.3,78,800
Hunan,"Samruddhi Building,New BEL Road, North Bangalore", North Bangalore,Bangalore,"Chinese,  Thai,  Seafood",4.4,132,1600
Copper Kitchen,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese,  Seafood,  Arabian",4.1,20,900
Arabian Hot Spot,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"North Indian,  Arabian",4.1,15,800
Churn,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"Desserts,  Ice Cream",4.8,6,400
Swagatham Rayalaseema Ruchulu,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"North Indian,  Andhra,  Biryani",5,1,600
Shanghai Court,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Chinese,  Thai,  Seafood",4.6,18,700
Shree Mahalakshmi Sweets,"Nagarbhavi, West Bangalore", West Bangalore,Bangalore,"Mithai,  Street Food",5,1,400
BYLI - Bet You Love It,"HRBR Layout, East Bangalore", East Bangalore,Bangalore,Continental,4.2,70,500
Stoned Monkey,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Desserts,  Ice Cream",4.2,6,400
Taco Bell,"Vega City Mall,Bannerghatta Road, South Bangalore", South Bangalore,Bangalore,"Mexican,  Tex Mex",3.6,10,500
Beijing Bites,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"Chinese,  Thai,  Seafood",4.2,67,700
Chameleon Lounge Bar,"Comfort INN Insys,Mathikere, North Bangalore", North Bangalore,Bangalore,"Finger Food,  Italian,  Continental,  American",4,103,1400
Empire Restaurant,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",3.8,90,700
House of Commons,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Finger Food,  North Indian,  Italian,  Continental",4.4,536,1000
Lassi House,"Banaswadi, North Bangalore", North Bangalore,Bangalore,"Fast Food,  Shakes,  Desserts",4,3,300
Cafe Mandala,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"North Indian,  Fast Food",4.2,40,700
Writer's Cafe,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"Fast Food,  Drinks",3.9,18,600
Laziz Pizza,"Vijay Nagar, West Bangalore", West Bangalore,Bangalore,"Pizza,  Fast Food",4.4,4,500
AQNI,"HBR layout, North Bangalore", North Bangalore,Bangalore,"North Indian,  Mughlai",3.3,4,500
Flavours,"Shravanthi Sarovar Portico,JP Nagar, South Bangalore", South Bangalore,Bangalore,"Continental,  North Indian,  South Indian",3.6,30,1000
Copper Pebble,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"North Indian,  Chinese,  Seafood",3.3,6,800
Nandhini Deluxe,"Jaykar Complex,New BEL Road, North Bangalore", North Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Andhra",3.5,29,1300
Dialogues,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Chinese,  Italian,  Fast Food",4.1,8,600
Pizza Stop,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Pizza,  Fast Food",4,1,500
Nandhini Deluxe,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Andhra",3.5,9,900
Cafe Pink Pajamas,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"Continental,  Fast Food,  Italian,  Coffee",4.2,57,600
Dindigul Thalappakatti,"Lamcy Plaza,Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"South Indian,  Biryani,  North Indian,  Chinese",4.5,9,800
Mainland China,"HRBR Layout, East Bangalore", East Bangalore,Bangalore,"Chinese,  Seafood,  Asian",4.3,223,1600
California Burrito,"RMZ Infinity,CV Raman Nagar, East Bangalore", East Bangalore,Bangalore,"Mexican,  Fast Food",4.5,42,500
La Utsav,"Grand Mercure Bengaluru at Gopalan Mall,Old Madras Road, East Bangalore", East Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Italian,  Continental,  South Indian,  Asian",4.3,6,2000
Pizza Stop,"Banaswadi, North Bangalore", North Bangalore,Bangalore,"Pizza,  Fast Food",4,2,500
Kanti Sweets,"Sandeep Arcade,Kasturi Nagar, North Bangalore", North Bangalore,Bangalore,"Mithai,  Desserts",4,3,500
Dark Mandala Art Cafe,"JP Nagar, South Bangalore", South Bangalore,Bangalore,Continental,3.7,10,800
Malabar Cafe,"Mathikere, North Bangalore", North Bangalore,Bangalore,"North Indian,  Biryani,  Chinese,  South Indian",3.9,3,400
Cuppa Redifined,"Mathikere, North Bangalore", North Bangalore,Bangalore,"Continental,  Fast Food,  Tea",3.7,17,300
Beijing Bites,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"Chinese,  Thai,  Seafood",4.1,58,700
Sherlock's Pub,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"North Indian,  Chinese,  Fast Food",4.1,137,1300
The Hebbal Cafe,"Courtyard By Marriott Hebbal,Hebbal, North Bangalore", North Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.3,158,2000
Lassi Corner,"Basaveshwara Nagar, West Bangalore", West Bangalore,Bangalore,"Desserts,  Ice Cream,  Drinks,  Fast Food",1.7,5,300
Mint Magic,"Vijay Nagar, West Bangalore", West Bangalore,Bangalore,Multi-Cuisine,3.7,22,500
Empire Restaurant,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",3.9,75,700
Potteery Nine Cafe,"Hebbal, North Bangalore", North Bangalore,Bangalore,North Indian,4.3,47,1200
Cafe Kaffea,"Vijay Nagar, West Bangalore", West Bangalore,Bangalore,"Italian,  Oriental ",3.6,16,700
Sharief Bhai,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"North Indian,  Mughlai",3.9,7,600
Sikori,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"North Indian,  Chinese,  Street Food,  Mithai",3.8,28,600
Kanti Sweets,"CV Raman Nagar, East Bangalore", East Bangalore,Bangalore,"Mithai,  Desserts",3.6,5,500
Barbeque Delight,"MBR Complex,Sarjapur Road, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Chinese,  Kerala",4,29,700
Nazaara,"Courtyard By Marriott Hebbal,Hebbal, North Bangalore", North Bangalore,Bangalore,North Indian,4.5,32,2600
Leon Grill,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Mexican,  Burger,  Fast Food",4,1,600
Kanti Sweets,"Kaggadasapura, East Bangalore", East Bangalore,Bangalore,"Mithai,  Desserts",4.2,5,500
Frozen Bottle,"Kammanahalli, North Bangalore", North Bangalore,Bangalore,"Shakes,  Desserts,  Ice Cream",3.5,2,400
Kanti Sweets,"PGR Tower,HSR Layout, South Bangalore", South Bangalore,Bangalore,"Mithai,  Desserts",5,4,500
Public The Rooftop Bar & Kitchen,"S V Arcade,Bannerghatta Road, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Andhra,  Finger Food",4,193,1200
Mani's Dum Biryani,"HSR Layout, South Bangalore", South Bangalore,Bangalore,Biryani,4.1,6,700
Shift,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Finger Food,  North Indian,  Chinese,  Continental",4.1,626,1600
Imperio Restaurant,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"South Indian,  Biryani,  North Indian,  Seafood",3.7,22,700
Basil Bistro,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Italian,  Continental,  North Indian,  Chinese",5,5,1000
California Burrito,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Mexican,  Fast Food",4.3,138,500
Punjabi Masala,"Banashankari, South Bangalore", South Bangalore,Bangalore,"Rajasthani,  North Indian",2.4,3,800
Secret of Bangalore,"Shakthi Hill Resort,Rajarajeshwari Nagar, West Bangalore", West Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Italian,  Continental,  South Indian,  Oriental ",4.2,461,1000
Leon Grill,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"Mexican,  Burger,  Fast Food",3,8,600
Guntur Spice,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"North Indian,  Seafood,  Chinese,  South Indian",4,2,400
Go Italia,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Italian,  Pizza",4.4,5,800
Frozen Bottle,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Shakes,  Desserts,  Ice Cream",4.7,7,400
Mad Over Donuts,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Doughnuts,  Desserts",4.4,21,300
Kanti Sweets,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Mithai,  Desserts",3,2,500
Alter Ego D'Deli Cafe,"HRBR Layout, East Bangalore", East Bangalore,Bangalore,"Continental,  Italian,  Burger",3,1,800
"Oyster, Bar and Kitchen","HSR Layout, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  South Indian,  Finger Food",4,43,1200
Thanco's Natural Ice Cream,"Banaswadi, North Bangalore", North Bangalore,Bangalore,"Ice Cream,  Desserts",3.2,5,400
Dindigul Thalappakatti,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"South Indian,  Biryani,  North Indian,  Chinese,  Seafood",4.5,62,800
Tingling Spice,"The Fern Residency,Yeshwantpur, North Bangalore", North Bangalore,Bangalore,"North Indian,  Chinese",4.3,74,1000
Thai Gallery,"Banaswadi, North Bangalore", North Bangalore,Bangalore,Thai,5,1,700
Kanti Sweets,"Ganga Complex,New BEL Road, North Bangalore", North Bangalore,Bangalore,"Mithai,  Desserts",4,1,500
Anjappar Chettinad,"BDA Complex,HSR Layout, South Bangalore", South Bangalore,Bangalore,"South Indian,  Chettinad,  Chinese,  Seafood",3.7,22,700
Parika Seafood,"Twin Tulips Hotel,HSR Layout, South Bangalore", South Bangalore,Bangalore,"South Indian,  Seafood,  Mangalorean,  North Indian,  Chinese",4.3,83,1400
Thanco's Natural Ice Cream,"Chandra Layout, West Bangalore", West Bangalore,Bangalore,"Ice Cream,  Desserts",2.1,3,400
Cafe Azzure,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Continental,  Italian,  Pizza",4.1,62,1000
Bonum Cibum,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Lebanese,  Turkish,  Continental",3.9,125,1200
Vapour Brewpub and Diner,"Bren Mercury,Sarjapur Road, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.3,1213,1700
Sichuan,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Asian,  Chinese,  Seafood",3.4,7,700
Pappu Chaiwala Restaurant & Cafe,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Fast Food,  North Indian,  Street Food,  Tea",5,1,300
IceBreakers,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Desserts,  Ice Cream,  Shakes",3.8,2,400
Barbeque Delight,"Bommanahalli, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  Chinese,  South Indian,  Seafood,  Arabian,  Kerala,  Biryani",3.9,5,700
Kanti Sweets,"Sobha Arcade,Bannerghatta Road, South Bangalore", South Bangalore,Bangalore,"Mithai,  Desserts",3.6,4,500
Seven Ate Nine,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Modern Indian,  South Indian",4.4,63,900
Sree Spicy Hub,"Jeevan Bhima Nagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Chinese,  Andhra",1,2,500
Trishna,"Banaswadi, North Bangalore", North Bangalore,Bangalore,"South Indian,  Andhra,  North Indian",4.3,6,600
Hustle,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Fast Food,  Contemporary Continental,  Italian",5,3,800
